lead_id,hubspot_id,hubspot_name,archived,confidence,rule,name_similarity,evidence,conflicts,hubspot_values
L0000001,346367197921,Hair Code Salon,False,55,phone_only,1.0,"[{""code"": ""EXACT_NAME"", ""field"": ""name"", ""prospect"": ""hair code salon"", ""hubspot"": ""hair code salon""}, {""code"": ""EXACT_PHONE"", ""field"": ""phone"", ""prospect"": ""+13478630456"", ""hubspot"": ""+13478630456""}]",[],"{""address"": null, ""address2"": null, ""city"": null, ""country"": null, ""createdate"": ""2026-09-12T22:54:43.432Z"", ""domain"": null, ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:54:48.724Z"", ""hs_object_id"": ""346367197921"", ""name"": ""Hair Code Salon"", ""phone"": ""347-863-0456"", ""state"": null, ""website"": null, ""zip"": null}"
L0000002,346290622191,Educe Salon,False,95,domain_phone_name,1.0,"[{""code"": ""EXACT_NAME"", ""field"": ""name"", ""prospect"": ""educe salon"", ""hubspot"": ""educe salon""}, {""code"": ""EXACT_BUSINESS_DOMAIN"", ""field"": ""domain"", ""prospect"": [""educesalon.com"", ""phorest.com""], ""hubspot"": [""educesalon.com""]}, {""code"": ""EXACT_PHONE"", ""field"": ""phone"", ""prospect"": ""+14074402840"", ""hubspot"": ""+14074402840""}]",[],"{""address"": null, ""address2"": null, ""city"": ""Orlando"", ""country"": null, ""createdate"": ""2026-09-12T22:50:21.947Z"", ""domain"": ""educesalon.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:55:50.239Z"", ""hs_object_id"": ""346290622191"", ""name"": ""Educe Salon"", ""phone"": ""+1 407-440-2840"", ""state"": null, ""website"": ""https://www.educesalon.com/"", ""zip"": null}"
L0000006,346303052520,Atelier Hair Salon Orlando,False,95,domain_phone_name,1.0,"[{""code"": ""EXACT_NAME"", ""field"": ""name"", ""prospect"": ""atelier hair salon orlando"", ""hubspot"": ""atelier hair salon orlando""}, {""code"": ""EXACT_BUSINESS_DOMAIN"", ""field"": ""domain"", ""prospect"": [""atelierhairsalon.com""], ""hubspot"": [""atelierhairsalon.com""]}, {""code"": ""EXACT_PHONE"", ""field"": ""phone"", ""prospect"": ""+14075839282"", ""hubspot"": ""+14075839282""}]",[],"{""address"": null, ""address2"": null, ""city"": ""Orlando"", ""country"": null, ""createdate"": ""2026-09-12T22:50:23.070Z"", ""domain"": ""atelierhairsalon.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:50:27.235Z"", ""hs_object_id"": ""346303052520"", ""name"": ""Atelier Hair Salon Orlando"", ""phone"": ""+1 407-583-9282"", ""state"": null, ""website"": ""https://www.atelierhairsalon.com/"", ""zip"": null}"
L0000007,342025333453,Instagram,False,0,NO_CREDIBLE_MATCH,0.16,"[{""code"": ""SHARED_DOMAIN"", ""field"": ""domain"", ""prospect"": [""instagram.com""], ""hubspot"": [""instagram.com""]}]",[],"{""address"": null, ""address2"": null, ""city"": null, ""country"": null, ""createdate"": ""2026-08-25T19:09:21.578Z"", ""domain"": ""instagram.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-01T12:05:10.100Z"", ""hs_object_id"": ""342025333453"", ""name"": ""Instagram"", ""phone"": null, ""state"": null, ""website"": ""instagram.com"", ""zip"": null}"
L0000007,346264440506,Edro's Salon,False,0,NO_CREDIBLE_MATCH,0.5714,"[{""code"": ""SHARED_DOMAIN"", ""field"": ""domain"", ""prospect"": [""instagram.com""], ""hubspot"": [""instagram.com""]}, {""code"": ""PHONE_DIFFERS"", ""field"": ""phone"", ""prospect"": ""+13219721852"", ""hubspot"": ""+14073512413""}]",[],"{""address"": null, ""address2"": null, ""city"": ""Orlando"", ""country"": null, ""createdate"": ""2026-09-12T22:50:39.418Z"", ""domain"": ""instagram.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:50:55.877Z"", ""hs_object_id"": ""346264440506"", ""name"": ""Edro's Salon"", ""phone"": ""+1 407-351-2413"", ""state"": null, ""website"": ""http://instagram.com/edros.salon"", ""zip"": null}"
L0000007,346292388564,Patty Serna Hair Salon,False,0,NO_CREDIBLE_MATCH,0.7368,"[{""code"": ""SHARED_DOMAIN"", ""field"": ""domain"", ""prospect"": [""instagram.com""], ""hubspot"": [""instagram.com""]}, {""code"": ""PHONE_DIFFERS"", ""field"": ""phone"", ""prospect"": ""+13219721852"", ""hubspot"": ""+14073047654""}]","[""POSSIBLE_RELATED_LOCATION""]","{""address"": null, ""address2"": null, ""city"": ""Altamonte Springs"", ""country"": null, ""createdate"": ""2026-09-12T22:50:09.550Z"", ""domain"": ""instagram.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:50:15.027Z"", ""hs_object_id"": ""346292388564"", ""name"": ""Patty Serna Hair Salon"", ""phone"": ""+1 407-304-7654"", ""state"": null, ""website"": ""https://www.instagram.com/pattysernabeautysalon/"", ""zip"": null}"
L0000007,346299462385,Hair Galleria,False,0,NO_CREDIBLE_MATCH,0.4828,"[{""code"": ""SHARED_DOMAIN"", ""field"": ""domain"", ""prospect"": [""instagram.com""], ""hubspot"": [""instagram.com""]}, {""code"": ""PHONE_DIFFERS"", ""field"": ""phone"", ""prospect"": ""+13219721852"", ""hubspot"": ""+14072370319""}]",[],"{""address"": null, ""address2"": null, ""city"": ""Orlando"", ""country"": null, ""createdate"": ""2026-09-12T22:50:22.154Z"", ""domain"": ""instagram.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:50:25.314Z"", ""hs_object_id"": ""346299462385"", ""name"": ""Hair Galleria"", ""phone"": ""+1 407-237-0319"", ""state"": null, ""website"": ""https://www.instagram.com/hairgalleria_orlando/"", ""zip"": null}"
L0000007,346433476320,444 Barber Studios,False,0,NO_CREDIBLE_MATCH,0.3529,"[{""code"": ""SHARED_DOMAIN"", ""field"": ""domain"", ""prospect"": [""instagram.com""], ""hubspot"": [""instagram.com""]}, {""code"": ""PHONE_DIFFERS"", ""field"": ""phone"", ""prospect"": ""+13219721852"", ""hubspot"": ""+14075428111""}]","[""POSSIBLE_RELATED_LOCATION""]","{""address"": null, ""address2"": null, ""city"": ""Oviedo"", ""country"": null, ""createdate"": ""2026-09-12T22:50:58.173Z"", ""domain"": ""instagram.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:51:14.469Z"", ""hs_object_id"": ""346433476320"", ""name"": ""444 Barber Studios"", ""phone"": ""+1 407-542-8111"", ""state"": null, ""website"": ""https://www.instagram.com/444barberstudios%3Figsh%3DMWZsYmg1cXR3emMzag%253D%253D%26utm_source%3Dqr"", ""zip"": null}"
L0000008,346367196903,Dulce e Luce beauty salon,False,95,domain_phone_name,1.0,"[{""code"": ""EXACT_NAME"", ""field"": ""name"", ""prospect"": ""dulce e luce beauty salon"", ""hubspot"": ""dulce e luce beauty salon""}, {""code"": ""EXACT_BUSINESS_DOMAIN"", ""field"": ""domain"", ""prospect"": [""dolceelucesalon.com"", ""vagaro.com""], ""hubspot"": [""dolceelucesalon.com""]}, {""code"": ""EXACT_PHONE"", ""field"": ""phone"", ""prospect"": ""+14074517828"", ""hubspot"": ""+14074517828""}]",[],"{""address"": null, ""address2"": null, ""city"": ""Orlando"", ""country"": null, ""createdate"": ""2026-09-12T22:50:38.590Z"", ""domain"": ""dolceelucesalon.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:50:55.420Z"", ""hs_object_id"": ""346367196903"", ""name"": ""Dulce e Luce beauty salon"", ""phone"": ""+1 407-451-7828"", ""state"": null, ""website"": ""https://dolceelucesalon.com/"", ""zip"": null}"
L0000009,346376133313,Theory Salons,False,95,domain_phone_name,1.0,"[{""code"": ""EXACT_NAME"", ""field"": ""name"", ""prospect"": ""theory salons"", ""hubspot"": ""theory salons""}, {""code"": ""EXACT_BUSINESS_DOMAIN"", ""field"": ""domain"", ""prospect"": [""theorysalons.com"", ""theorysalons.myonlineappointment.com""], ""hubspot"": [""theorysalons.com""]}, {""code"": ""EXACT_PHONE"", ""field"": ""phone"", ""prospect"": ""+14072194345"", ""hubspot"": ""+14072194345""}]",[],"{""address"": null, ""address2"": null, ""city"": ""Orlando"", ""country"": null, ""createdate"": ""2026-09-12T22:50:11.101Z"", ""domain"": ""theorysalons.com"", ""hs_additional_domains"": null, ""hs_lastmodifieddate"": ""2026-09-12T22:55:50.532Z"", ""hs_object_id"": ""346376133313"", ""name"": ""Theory Salons"", ""phone"": ""+1 407-219-4345"", ""state"": null, ""website"": ""http://www.theorysalons.com/"", ""zip"": null}"
